ID,NaaNH,SaaNH,n9FaHRing,n6aHRing,naHRing,n10FaHRing,NaaN,SaaN,nFaHRing,nFHRing,nHRing,n6HRing,NaasN,SMR_VSA3,naRing,nBondsA,SlogP_VSA8,JGI5,PEOE_VSA2,SaasN,MATS1c,n9FHRing,nN,PEOE_VSA1,SlogP_VSA1,JGI4,n6aRing,nBondsM,MATS3i,GATS4c,MATS2c,NsOH,SRW07,SRW09,SMR_VSA9,C3SP2,C2SP2,C1SP2,nHBDon,PEOE_VSA3,Xch-6d,nBase,AATSC5i,SlogP_VSA6,BIC2,ATSC1c,AATSC3i,FCSP3,AATS8d,SssNH
CHEMBL387748,1,3.433539068,0,2,3,1,4,18.35299144,1,1,3,2,0,24.9198926,5,28,33.67863691,0.016992754,14.95193556,0.0,-0.462344944,0,7,10.30076712,5.316788604,0.044021739,4,29,0.107208971,1.345283885,-0.089778965,0,4.727387819,6.842683282,28.71445679,2,17,3,2,4.983978521,0.497193875,0,-0.236703407,73.05735783,0.759195486,-0.378539035,0.189143996,0.08,3.218181818,3.3325290780000003
CHEMBL202730,0,0.0,1,1,3,0,3,14.10765935,1,2,4,1,2,29.21545116,4,21,33.54816041,0.018055556,9.665781456,4.434956144,-0.185182509,1,6,9.467009379,0.0,0.03135101,2,21,-0.016455604,0.843673992,-0.218801815,0,5.82008293,7.934155233999999,22.51475897,2,11,1,0,4.983978521,0.727435268,1,-0.226829658,48.92236606,0.7749024990000001,-0.111576057,-0.02657287,0.347826087,2.578571429,0.0
CHEMBL260923,0,0.0,0,2,3,1,3,14.20832917,1,2,4,2,1,19.74844179,4,22,33.41768391,0.0171513,14.64975998,2.151712845,-0.172931329,0,4,0.0,0.0,0.041369509,3,22,0.154765095,0.994028123,-0.155523005,0,5.4161004020000005,7.535296702,22.51475897,3,13,1,0,0.0,0.572623765,0,-0.363088617,53.13413257,0.809056885,-0.062134915,0.251247528,0.19047619,2.301886792,0.0
CHEMBL436944,1,2.944180713,0,2,3,0,3,13.32065087,0,0,4,3,0,25.06523039,4,23,33.77213846,0.017753086,19.86117603,0.0,-0.324868153,0,5,9.636772685,0.0,0.024822695,3,24,0.049752966,0.896016257,-0.207192914,0,4.59511985,6.605297921,33.77213846,4,12,4,1,0.0,0.506873575,0,0.062838805,73.18783433,0.770478689,-0.284610951,0.08111752900000001,0.166666667,3.044444444,0.0
CHEMBL1835534,0,0.0,1,2,4,0,4,17.69088734,1,1,4,2,2,29.36252149,5,27,28.16193619,0.021873522000000003,4.983978521,3.206380065,-0.454584962,1,7,5.316788604,5.316788604,0.045277778,3,28,0.004288928,1.208623275,-0.02013205,0,5.351858133,7.423568444,22.51475897,2,14,3,1,18.5715944,0.568041382,0,0.05401878,73.31831083,0.7766899859999999,-0.323552309,0.010015238,0.045454545,3.23,2.9157811060000003
CHEMBL1835522,0,0.0,1,2,4,0,4,17.91459759,1,1,4,2,2,29.36252149,5,27,28.16193619,0.0215625,4.983978521,3.376952011,-0.4002101,1,7,10.05365156,10.05365156,0.04255787,3,28,-0.003199973,0.858176952,-0.010620191,0,5.351858133,7.423568444,28.26427081,2,14,3,1,14.18117935,0.568041382,0,-0.010645599,73.31831083,0.7899700909999999,-0.374549736,-0.0058011090000000005,0.086956522,3.185185185,3.217216291
CHEMBL1835518,0,0.0,1,2,4,0,4,17.728672,1,1,4,2,2,29.36252149,5,27,28.16193619,0.021141304,4.983978521,3.2538652760000004,-0.456329159,1,7,5.316788604,5.316788604,0.043538647,3,28,-0.011189518999999998,0.992015496,0.053927406,0,5.351858133,7.423568444,22.51475897,2,14,3,1,18.5715944,0.568041382,0,0.052638617,73.31831083,0.78645909,-0.3197231,-0.026129069,0.045454545,3.21,3.023327402
CHEMBL205151,1,2.931642415,0,2,3,0,3,13.25635142,0,0,3,2,0,25.48210926,4,23,33.77213846,0.020674603,19.86117603,0.0,-0.3672846420000001,0,5,10.05365156,5.316788604,0.023989899,3,24,0.020799317,0.964806775,-0.154076582,0,4.59511985,6.605297921,33.77213846,4,12,4,2,0.0,0.404811503,0,0.107491119,73.18783433,0.8045357209999999,-0.328417593,0.033818727,0.130434783,2.857142857,2.812644588
CHEMBL2435037,0,0.0,0,1,2,0,2,8.828206176,0,1,3,1,1,14.53505669,3,17,17.20571877,0.024411765,9.361636832,1.767685185,-0.5437894289999999,1,4,15.20739338,15.20739338,0.04515873,2,18,0.100060238,0.867832243,0.000561166,0,5.351858133,7.423568444,28.70474243,0,12,3,1,9.967957042,0.484708048,0,-0.166575267,42.59504598,0.798057295,-0.6946578940000001,0.164403192,0.117647059,2.441558442,0.0
CHEMBL229654,1,3.425442623,0,2,3,1,4,18.33636944,1,1,3,2,0,24.9198926,5,28,33.67863691,0.020766908,19.74647275,0.0,-0.57091314,0,7,16.034434599999994,11.05045608,0.04393617,4,29,0.09000188,1.208919475,0.030890422,0,4.727387819,6.842683282,22.64523548,2,17,4,3,4.983978521,0.497193875,0,-0.258044824,73.05735783,0.7767360059999999,-0.631323273,0.154919495,0.08,3.118644068,3.322950469
CHEMBL229497,1,3.447870607,0,1,2,0,2,9.67246006,0,1,3,1,0,14.95193556,4,23,22.64523548,0.018833333,4.983978521,0.0,-0.49314765,1,5,19.77449303,14.79051451,0.041728395,3,24,0.051250959000000006,1.194879826,-0.045686501,0,5.351858133,7.412764017000001,40.21348046,2,17,1,2,4.983978521,0.580527208,0,-0.264062273,60.66367068,0.786837131,-0.607917822,0.083711655,0.16,3.123966942,3.351690497
CHEMBL425177,0,0.0,0,3,4,1,4,17.91451326,1,1,4,3,0,19.93591408,4,22,32.86185611,0.02234985,14.95193556,0.0,-0.575695827,0,5,5.733667477000001,5.733667477000001,0.039799383,3,22,0.15126287900000002,0.924613438,0.143500839,0,4.727387819,6.823286122000001,21.82845468,1,12,2,1,4.983978521,0.445480992,0,-0.150313303,48.79188955,0.7710531890000001,-0.356087317,0.281672629,0.05882352900000001,2.415384615,0.0
CHEMBL566440,0,0.0,0,1,1,0,1,4.102177623,0,1,3,1,0,15.20067686,2,12,0.0,0.018689236,15.20067686,0.0,-0.412657523,0,3,0.0,5.316788604,0.040944444,2,12,-0.092058246,1.00313205,0.021959912,0,5.4161004020000005,7.535296702,0.0,2,7,2,1,4.390415048,0.538603074,2,0.185313755,48.79188955,0.828098621,-0.179313097,-0.208835134,0.3125,1.890909091,3.69972671
CHEMBL1237161,1,2.976808123,0,2,3,0,3,13.44053346,0,0,4,3,0,25.06523039,4,23,33.77213846,0.015671835,19.96654858,0.0,-0.205114713,0,5,4.736862953999999,0.0,0.025271318,3,23,0.029892425,0.581715172,-0.294747392,0,4.59511985,6.605297921,33.77213846,4,12,3,1,0.0,0.506873575,1,0.099107162,73.18783433,0.79604244,-0.150403661,0.047135666,0.208333333,2.946236559,0.0
CHEMBL206544,1,2.964063799,0,2,3,0,3,13.35452973,0,0,3,2,0,20.16532066,4,23,33.77213846,0.022428571,15.06663885,0.0,-0.21108114,0,4,0.0,0.0,0.025672515,3,23,-0.021699056,0.7613446759999999,-0.244609612,0,4.59511985,6.605297921,33.77213846,4,12,3,1,0.0,0.404811503,0,-0.033540821,73.18783433,0.7656671279999999,-0.08999734300000001,-0.035057321,0.13636363599999998,2.775,0.0
CHEMBL382799,1,2.942391606,0,2,3,0,3,13.25622517,0,0,3,2,0,20.16532066,4,23,33.77213846,0.018526235,15.06663885,0.0,-0.24273712600000005,0,4,4.736862953999999,4.736862953999999,0.027447447000000003,3,23,-0.001420901,0.8053212390000001,-0.203595168,0,4.59511985,6.605297921,39.52165029,3,13,3,1,0.0,0.404811503,0,-0.019135275,73.18783433,0.7778380309999999,-0.172437603,-0.00234766,0.05,2.816901408,0.0
CHEMBL359724,0,0.0,0,2,3,1,3,13.09606009,1,1,3,2,0,14.95193556,4,22,32.600903100000004,0.020236928,9.967957042,0.0,-0.568019422,0,4,5.733667477000001,5.733667477000001,0.034166667000000005,3,22,-0.010433526,0.7557077320000001,0.176032668,0,4.727387819,6.823286122000001,21.69797817,3,10,3,1,4.983978521,0.460772944,0,-0.493085149,61.05510019,0.780077074,-0.311617665,-0.018912124,0.0,2.245614035,0.0
CHEMBL260239,0,0.0,0,2,3,1,3,14.21366781,1,2,4,2,1,24.64835152,5,28,33.41768391,0.0181102,14.64975998,2.14191617,-0.229097742,0,5,9.636772685,4.736862953999999,0.036666667,4,28,-0.024021401,0.907593286,-0.138568869,0,5.4161004020000005,7.535296702,34.01378264,4,17,2,0,0.0,0.6746858379999999,1,-0.245657609,79.12372490000001,0.754150918,-0.17434153800000002,-0.03823347,0.206896552,2.710144928,0.0
CHEMBL125846,1,2.956115599,0,1,2,0,2,8.542277179,0,0,2,1,0,15.18134214,3,17,22.51475897,0.020241546000000003,10.08266033,0.0,-0.279746816,0,3,0.0,0.0,0.037777778,2,17,0.009965085,0.994470512,-0.16016665300000002,0,4.59511985,6.605297921,22.51475897,2,11,1,1,4.390415048,0.30274943,0,-0.346620629,48.66141305,0.77776081,-0.101516334,0.023518517000000003,0.066666667,2.194444444,0.0
CHEMBL340203,1,2.870474773,0,2,3,1,3,12.75271019,1,1,3,2,0,20.16532066,4,22,33.41768391,0.017822581,15.06663885,0.0,-0.232936272,0,4,0.0,0.0,0.032356902,3,22,0.103640679,0.7724357629999999,-0.273198683,0,4.59511985,6.605297921,22.51475897,3,11,3,1,4.390415048,0.370790812,0,-0.352719787,61.05510019,0.772522594,-0.11082037,0.250250917,0.0,2.613636364,0.0
CHEMBL204838,1,2.934162514,0,2,3,0,3,13.19862021,0,0,3,2,0,20.16532066,4,23,33.77213846,0.02,15.06663885,0.0,-0.227492927,0,4,0.0,0.0,0.026339869,3,23,-0.004970071,0.816076743,-0.252787668,0,4.59511985,6.605297921,33.77213846,3,13,3,1,0.0,0.404811503,0,-0.01430001,73.18783433,0.7824502320000001,-0.096417794,-0.008280210999999999,0.0,2.847457627,0.0
CHEMBL566439,0,0.0,0,2,3,1,3,13.90095723,1,2,4,2,1,19.74844179,4,22,33.41768391,0.018823232,19.96654858,2.082042072,-0.539767342,0,5,9.843390349,5.316788604,0.035054466,3,23,0.125331959,0.947406864,0.087146324,1,5.4161004020000005,7.535296702,22.51475897,3,12,2,2,4.794537184,0.591352505,0,-0.123833745,54.85825662,0.814018887,-0.640896214,0.20214256,0.217391304,2.458015267,2.663271129
CHEMBL338713,1,2.949609552,0,2,3,1,3,13.23252315,1,1,3,2,0,20.16532066,4,22,33.41768391,0.014712963,15.06663885,0.0,-0.19918311,0,4,0.0,0.0,0.027395833,3,22,-0.046717052,0.874639267,-0.220701209,0,4.59511985,6.605297921,22.51475897,3,11,3,1,0.0,0.389519551,0,-0.235008735,67.12146726,0.722580056,-0.081917659,-0.080911021,0.0,2.422222222,0.0
CHEMBL229548,1,3.464247528,0,2,3,1,4,18.52910042,1,1,3,2,0,24.9198926,5,28,33.67863691,0.019143026,14.95193556,0.0,-0.4688421370000001,0,7,10.30076712,5.316788604,0.04393617,4,29,0.10405665,1.443657692,-0.094781725,0,4.727387819,6.842683282,28.71445679,2,17,3,2,4.983978521,0.497193875,0,-0.266867297,73.05735783,0.780222427,-0.383956738,0.180716695,0.115384615,3.178861789,3.361995568
