ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL387748,3.433539068,0,3,0.016992754,-0.462344944,0,10.30076712,0,0.497193875,0.189143996
CHEMBL202730,0.0,1,3,0.018055556,-0.185182509,1,9.467009379,0,0.727435268,-0.02657287
CHEMBL260923,0.0,0,3,0.0171513,-0.172931329,0,0.0,0,0.572623765,0.251247528
CHEMBL436944,2.944180713,0,3,0.017753086,-0.324868153,0,9.636772685,0,0.506873575,0.08111752900000001
CHEMBL1835534,0.0,1,4,0.021873522000000003,-0.454584962,1,5.316788604,0,0.568041382,0.010015238
CHEMBL1835522,0.0,1,4,0.0215625,-0.4002101,1,10.05365156,0,0.568041382,-0.0058011090000000005
CHEMBL1835518,0.0,1,4,0.021141304,-0.456329159,1,5.316788604,0,0.568041382,-0.026129069
CHEMBL205151,2.931642415,0,3,0.020674603,-0.3672846420000001,0,10.05365156,0,0.404811503,0.033818727
CHEMBL2435037,0.0,0,2,0.024411765,-0.5437894289999999,1,15.20739338,0,0.484708048,0.164403192
CHEMBL229654,3.425442623,0,3,0.020766908,-0.57091314,0,16.034434599999994,0,0.497193875,0.154919495
CHEMBL229497,3.447870607,0,2,0.018833333,-0.49314765,1,19.77449303,0,0.580527208,0.083711655
CHEMBL425177,0.0,0,4,0.02234985,-0.575695827,0,5.733667477000001,0,0.445480992,0.281672629
CHEMBL566440,0.0,0,1,0.018689236,-0.412657523,0,0.0,0,0.538603074,-0.208835134
CHEMBL1237161,2.976808123,0,3,0.015671835,-0.205114713,0,4.736862953999999,0,0.506873575,0.047135666
CHEMBL206544,2.964063799,0,3,0.022428571,-0.21108114,0,0.0,0,0.404811503,-0.035057321
CHEMBL382799,2.942391606,0,3,0.018526235,-0.24273712600000005,0,4.736862953999999,0,0.404811503,-0.00234766
CHEMBL359724,0.0,0,3,0.020236928,-0.568019422,0,5.733667477000001,0,0.460772944,-0.018912124
CHEMBL260239,0.0,0,3,0.0181102,-0.229097742,0,9.636772685,0,0.6746858379999999,-0.03823347
CHEMBL125846,2.956115599,0,2,0.020241546000000003,-0.279746816,0,0.0,0,0.30274943,0.023518517000000003
CHEMBL340203,2.870474773,0,3,0.017822581,-0.232936272,0,0.0,0,0.370790812,0.250250917
CHEMBL204838,2.934162514,0,3,0.02,-0.227492927,0,0.0,0,0.404811503,-0.008280210999999999
CHEMBL566439,0.0,0,3,0.018823232,-0.539767342,0,9.843390349,1,0.591352505,0.20214256
CHEMBL338713,2.949609552,0,3,0.014712963,-0.19918311,0,0.0,0,0.389519551,-0.080911021
